CONCISE NET LIST - 1  
BOOT_UP_PW1              U1_PW1           8        UCC27712_AAI_SOIC-AAI-UCC27712-Q1
BRD_ID<0>                R210             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_ID<0>                U101_UP          R29      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_ID<1>                R211             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_ID<1>                U101_UP          R30      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_ID<2>                R212             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_ID<2>                U101_UP          P29      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_ID<3>                R213             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_ID<3>                U101_UP          P30      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_ID<4>                R214             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_ID<4>                U101_UP          N29      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_ID<5>                R215             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_ID<5>                U101_UP          N30      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_ID<6>                R216             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_ID<6>                U101_UP          M29      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_ID<7>                R217             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_ID<7>                U101_UP          M30      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_REV<0>               R218             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_REV<0>               R222             1        RES_AAI_0402-AAI-1K,1%,1/10W,MF
BRD_REV<0>               U101_UP          L29      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_REV<1>               R219             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_REV<1>               U101_UP          L30      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_REV<2>               R220             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
